name,district,price,bedroom,wc,acreage,link
Bán nhà Riêng 2 lầu 55m2 – Hiệp Phú – TP Thủ Đức - Nhỉnh 3 Tỷ TL,"Quận 9 (TP. Thủ Đức), TPHCM",3 tỷ 950 triệu,5 PN,6 WC,80 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-rieng-2-lau-55m2-hiep-phu-tp-thu-duc-nhinh-3-ty-tl-id22496082
"Chính Chủ Bán Lô Đất Vàng Vuông Vức, Đườg Xe Hơi 8m, Nguyễn Gia Trí-BT","Quận Bình Thạnh, TPHCM",10 tỷ 900 triệu,4 PN,2 WC,55 m2,https://mogi.vn/quan-binh-thanh/mua-nha-biet-thu-lien-ke/chinh-chu-ban-lo-dat-vang-vuong-vuc-duog-xe-hoi-8m-nguyen-gia-tri-bt-id22491288
Bán nhà hẻm 88 Nguyễn Văn Quỳ - Phường Phú Thuận - Quận 7 - 92m2,"Quận 7, TPHCM",4 tỷ 900 triệu,5 PN,6 WC,64 m2,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-hem-88-nguyen-van-quy-phuong-phu-thuan-quan-7-92m2-id22520275
"MTKD khủng 12m Bình Tân  371m2 SHR nở hậu dòng tiền ngay, 18 tỷ TL","Quận Bình Tân, TPHCM",18 tỷ,4 PN,3 WC,92 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/mtkd-khung-12m-binh-tan-371m2-shr-no-hau-dong-tien-ngay-18-ty-tl-id21647436
Nhỉnh 4 tỷ nhà mới hẻm nhựa 7m F.15 Tân Bình tặng full nội thất.,"Quận Tân Bình, TPHCM",4 tỷ 250 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/nhinh-4-ty-nha-moi-hem-nhua-7m-f-15-tan-binh-tang-full-noi-that-id22376926
Bán nhà Man Thiện 65m2 - Hẻm 6m ngang - Tp Thủ Đức - Nhỉnh 4 Tỷ TL,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 400 triệu,2 PN,2 WC,36 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-man-thien-65m2-hem-6m-ngang-tp-thu-duc-nhinh-4-ty-tl-id22493433
HIẾM - Nhà Đẹp Ở Liền - Nở Hậu Tài Lộc - Nguyễn Văn Đậu - Bình Thạnh.,"Quận Bình Thạnh, TPHCM",3 tỷ 680 triệu,3 PN,2 WC,65 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/hiem-nha-dep-o-lien-no-hau-tai-loc-nguyen-van-dau-binh-thanh-id22491283
"Bán biệt thự Thảo Điền, Phường Thảo Điền Quận 2 - 975m2","Quận 2 (TP. Thủ Đức), TPHCM",240 tỷ,2 PN,2 WC,27 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-tha-o-die-n-phu-o-ng-tha-o-die-n-qua-n-2-975m2-id22515415
"Bán nhà MT KDC Nam Long An Lạc 174m2 8x22 SHR đẹp dân trí, 13.5 tỷ TL","Quận Bình Tân, TPHCM",136 tỷ 500 triệu,8 PN,10 WC,975 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-mt-kdc-nam-long-an-lac-174m2-8x22-shr-dep-dan-tri-13-5-ty-tl-id21704208
Bán nhà Lê Văn Sỹ F1 Tân Bình 65m2 chỉ 9 tỷ THƯƠNG lượng.,"Quận Tân Bình, TPHCM",9 tỷ,4 PN,2 WC,174 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-le-van-sy-f1-tan-binh-65m2-chi-9-ty-thuong-luong-id22372678
Bán nhà Hẻm Xe Hơi 8m - Tăng Nhơn Phú A - TP Thủ Đức - Nhỉnh 4T TL,"Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 900 triệu,4 PN,3 WC,65 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-hem-xe-hoi-8m-tang-nhon-phu-a-tp-thu-duc-nhinh-4t-tl-id22493149
"Hiếm, Siêu Phẩm Nhà To Giá Tốt, Ô tô Đỗ Cổng, Nguyễn Thái Sơn, Gò Vấp.","Quận Gò Vấp, TPHCM",5 tỷ 400 triệu,2 PN,3 WC,50 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/hiem-sieu-pham-nha-to-gia-tot-o-to-do-cong-nguyen-thai-son-go-vap-id22489556
"NGỘP mặt tiền Đường Số 9, Tân Phú Quận 7 - 61m2","Quận 7, TPHCM",14 tỷ 500 triệu,3 PN,3 WC,85 m2,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ngop-mat-tien-duong-so-9-tan-phu-quan-7-61m2-id22510280
"MTKD An Dương Vương P11 Q6 198m2 5.2x38 đắc địa có dòng tiền, 22 tỷ TL","Quận 6, TPHCM",22 tỷ,5 PN,5 WC,61 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mtkd-an-duong-vuong-p11-q6-198m2-5-2x38-dac-dia-co-dong-tien-22-ty-tl-id21756214
"CHDV ngay ngã tư Bảy Hiền 6.3m x 17m 5 tầng, 15pn giá chỉ 14.8 tỷ TL","Quận Tân Bình, TPHCM",14 tỷ 800 triệu,4 PN,1 WC,198 m2,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/chdv-ngay-nga-tu-bay-hien-6-3m-x-17m-5-tang-15pn-gia-chi-14-8-ty-tl-id22520207
Bán nhà 120M2 - Ngang Khủng 8.5m - HXH - Tăng Nhơn Phú - Nhỉnh 5T TL,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 700 triệu,15 PN,14 WC,105 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-120m2-ngang-khung-8-5m-hxh-tang-nhon-phu-nhinh-5t-tl-id22492283
"Giảm Sốc 2 Tỷ, Siêu Phẩm Hẻm Xe Hơi, 4 x 12, Nguyễn Văn Khối, Gò Vấp.","Quận Gò Vấp, TPHCM",5 tỷ 600 triệu,4 PN,2 WC,120 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/giam-soc-2-ty-sieu-pham-hem-xe-hoi-4-x-12-nguyen-van-khoi-go-vap-id22488574
"NGỘP mặt tiền Lê Văn Lương, Phường Tân kiểng Quận 7 - 165m2","Quận 7, TPHCM",18 tỷ,4 PN,4 WC,48 m2,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ngop-mat-tien-le-van-luong-phuong-tan-kieng-quan-7-165m2-id22509699
"Nhà căn góc HXH Hồ Học Lãm BT,  CN đủ 320m2 10x32  SHR đẹp, 14.9 tỷ TL","Quận Bình Tân, TPHCM",14 tỷ 900 triệu,4 PN,4 WC,165 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/nha-can-goc-hxh-ho-hoc-lam-bt-cn-du-320m2-10x32-shr-dep-14-9-ty-tl-id21770146
Bình Hưng Hoà ngày Aeon Tân Phú hẻm xe tải tránh 4m x16m - 4 tầng 6.3t,"Quận Bình Tân, TPHCM",6 tỷ 300 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/binh-hung-hoa-ngay-aeon-tan-phu-hem-xe-tai-tranh-4m-x16m-4-tang-6-3t-id22512756
Bán nhà 2 tầng 115m2 ngang 4.5m – Hẻm ô tô - Thủ Đức - Nhỉnh 5T nhỏ,"Quận 9 (TP. Thủ Đức), TPHCM",5 tỷ 650 triệu,4 PN,4 WC,70 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-2-tang-115m2-ngang-4-5m-hem-o-to-thu-duc-nhinh-5t-nho-id22489779
