name,district,price,bedroom,wc,acreage,link,date
"HxH 8m Nguyễn Kiệm - ngã tư Phú Nhuận dt 26x17,5 cn 475m2 giá 53 tỷ TL","Quận Phú Nhuận, TPHCM",53 tỷ,2 PN,1 WC,52 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/hxh-8m-nguyen-kiem-nga-tu-phu-nhuan-dt-26x17-5-cn-475m2-gia-53-ty-tl-id22509716,2024-04-24
"Bán tòa nhà MT Nguyễn Thị Minh Khai Quận 1, dt:6.7x22m,8 lầu giá 80 tỷ","Quận 1, TPHCM",80 tỷ,8 PN,9 WC,100 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mt-nguyen-thi-minh-khai-quan-1-dt-6-7x22m-8-lau-gia-80-ty-id22414834,2024-04-24
"Hạ giá 500 triệu, bán gấp nhà hẻm số 1 đường số 20, dt: 72m2, gác lửng","Quận Bình Tân, TPHCM",4 tỷ 500 triệu,8 PN,8 WC,150 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/ha-gia-500-trieu-ban-gap-nha-hem-so-1-duong-so-20-dt-72m2-gac-lung-id22497028,2024-04-24
💎Bán nhà 4 tầng MTKD đường 20m khu Tên Lửa 4x20m - SÁT MT ĐƯỜNG SỐ 19,"Quận Bình Tân, TPHCM",12 tỷ 500 triệu,2 PN,2 WC,72 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-4-tang-mtkd-duong-20m-khu-ten-lua-4x20m-sat-mt-duong-so-19-id22375273,2024-04-24
Bán nhà mặt tiền kinh doanh Lê Văn Sỹ P10 Phú Nhuận 110m2 nhỉnh 18 tỷ,"Quận Phú Nhuận, TPHCM",18 tỷ 900 triệu,4 PN,5 WC,80 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-mat-tien-kinh-doanh-le-van-sy-p10-phu-nhuan-110m2-nhinh-18-ty-id22458390,2024-04-24
"Giảm giá bán gấp Mặt tiền Cống Quỳnh, Quận 1 ngay Bùi Viện","Quận 1, TPHCM",26 tỷ,4 PN,4 WC,110 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/giam-gia-ban-gap-mat-tien-cong-quynh-quan-1-ngay-bui-vien-id22459056,2024-04-24
Về quê bán gấp nhà HXH 5m đường Nguyễn Biểu Q5 64m2 giá 1ty060trieu,"Quận 5, TPHCM",1 tỷ 60 triệu,4 PN,4 WC,70 m2,https://mogi.vn/quan-5/mua-nha-hem-ngo/ve-que-ban-gap-nha-hxh-5m-duong-nguyen-bieu-q5-64m2-gia-1ty060trieu-id22518667,2024-04-24
💥 Giải Cứu căn nhà đường Cách mạng tháng 8 quận 3 DT 45m2 giá 2 tỷ390,"Quận 3, TPHCM",2 tỷ 390 triệu,3 PN,2 WC,64 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/giai-cuu-can-nha-duong-cach-mang-thang-8-quan-3-dt-45m2-gia-2-ty390-id22442224,2024-04-24
"Bán nhà 84 Pasteur, Phường Bến Nghé, Quận 1","Quận 1, TPHCM",75 tỷ,3 PN,4 WC,45 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-84-pasteur-phuong-ben-nghe-quan-1-id21628379,2024-04-24
CHỦ ĐỊNH CƯ NƯỚC NGOÀI cần bán nhà gấp,"Quận Bình Thạnh, TPHCM",1 tỷ 850 triệu,0 PN,5 WC,96 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/chu-dinh-cu-nuoc-ngoai-can-ban-nha-gap-id22539920,2024-04-24
"Bán Tòa Nhà Buidling Văn Phòng MT 90 - 92 Đường Lê Thị Riêng, P Bến Th","Quận 1, TPHCM",149 tỷ,3 PN,3 WC,54 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-buidling-van-phong-mt-90-92-duong-le-thi-rieng-p-ben-th-id22437192,2024-04-24
Bán Nhà Mặt Tiền Đường Số 5 Sát Bên Tân Phú 4 Tầng 4.5m15m Chỉ 5.x Tỷ,"Quận Bình Tân, TPHCM",5 tỷ 600 triệu,10 PN,10 WC,138 m2,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-so-5-sat-ben-tan-phu-4-tang-4-5m15m-chi-5-x-ty-id22506381,2024-04-24
Bán nhà 34 Võ Văn Tần P6 Quận 3 - 14x30m Hầm 5 tầng - HĐ Thuê 500tr,"Quận 3, TPHCM",320 tỷ,4 PN,4 WC,67 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-34-vo-van-tan-p6-quan-3-14x30m-ham-5-tang-hd-thue-500tr-id22533854,2024-04-24
218 m Mặt Tiền Hồng Bàng q11 ( 12 * 18 ) 43 tỷ,"Quận 11, TPHCM",43 tỷ,8 PN,8 WC,410 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/218-m-mat-tien-hong-bang-q11-12-18-43-ty-id22306989,2024-04-24
"Bán biệt thự 6B Ngô Thời Nhiệm, Phường 7, Q3 Ngang 17m x dài 25m","Quận 3, TPHCM",110 tỷ,5 PN,5 WC,218 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-biet-thu-6b-ngo-thoi-nhiem-phuong-7-q3-ngang-17m-x-dai-25m-id22444878,2024-04-24
"Hiếm! Nhà Đẹp 2 Tầng, DT Khủng 85m2 (4.1m x 22m) Bình Thạnh chỉ 6.x tỷ","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,5 PN,5 WC,443 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/hiem-nha-dep-2-tang-dt-khung-85m2-4-1m-x-22m-binh-thanh-chi-6-x-ty-id22515340,2024-04-24
Bán nhà 1t2l có nội thất hẻn xe hơi đường 28 linh đông,"Quận Thủ Đức (TP. Thủ Đức), TPHCM",5 tỷ 300 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-thu-duc/mua-nha-hem-ngo/ban-nha-1t2l-co-noi-that-hen-xe-hoi-duong-28-linh-dong-id22322932,2024-04-24
