name,district,price,bedroom,wc,acreage,link,date
Bán nhà cực đẹp Vườn Lài Tân Phú 90m2 4 tầng chỉ nhỉnh 9 tỷ.TL,"Quận Tân Phú, TPHCM",9 tỷ 400 triệu,5 PN,5 WC,90 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/ban-nha-cuc-dep-vuon-lai-tan-phu-90m2-4-tang-chi-nhinh-9-ty-tl-id22370989,2024-04-25
"Hẻm 6m, ÔTô Đỗ Trong Nhà CMT8, Q3, 65m2(4.1X16), 3 Tầng, Tặng Nội Thất","Quận 3, TPHCM",12 tỷ 900 triệu,4 PN,4 WC,90 m2,https://mogi.vn/quan-3/mua-nha-hem-ngo/hem-6m-oto-do-trong-nha-cmt8-q3-65m2-4-1x16-3-tang-tang-noi-that-id21323845,2024-04-25
"Gấp bán nhà 4 tầng, 62m2, hẻm 6m, gần MT Lâm Thị Hố, Q12, chỉ 5 tỷ.","Quận 12, TPHCM",5 tỷ,4 PN,4 WC,65 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/gap-ban-nha-4-tang-62m2-hem-6m-gan-mt-lam-thi-ho-q12-chi-5-ty-id22495092,2024-04-25
"HXH 8M đường C18 khu K300 p12 Tân Bình 4x20 nhà 3 tầng giá 11,5 tỷ","Quận Tân Bình, TPHCM",11 tỷ 500 triệu,4 PN,4 WC,62 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hxh-8m-duong-c18-khu-k300-p12-tan-binh-4x20-nha-3-tang-gia-11-5-ty-id22516191,2024-04-25
gấp bán phan xích long-4 tầng-ngang 5.5m-dt 127m2-chỉ từ 5 tỷ,"Quận Bình Thạnh, TPHCM",5 tỷ 600 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/gap-ban-phan-xich-long-4-tang-ngang-5-5m-dt-127m2-chi-tu-5-ty-id22539280,2024-04-25
Bán nhà hẻm hà đặc- trung mỹ tây-q12-83m2-2pn-2wc-3 tỷ 600,"Quận 12, TPHCM",3 tỷ 600 triệu,3 PN,3 WC,45 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/ban-nha-hem-ha-dac-trung-my-tay-q12-83m2-2pn-2wc-3-ty-600-id22542533,2024-04-25
"Bán nhà Tân Chánh Hiệp, Quận 12 , 3 Tỷ - Sổ Hồng Riêng Hoàn Công","Quận 12, TPHCM",3 tỷ,2 PN,2 WC,83 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-tan-chanh-hiep-quan-12-3-ty-so-hong-rieng-hoan-cong-id22393290,2024-04-25
Mặt Tiền Trần Qúy Chợ Thiếc q11 ( 5 * 21 ) 8 Lầu 35 tỷ,"Quận 11, TPHCM",35 tỷ,4 PN,2 WC,72 m2,https://mogi.vn/quan-11/mua-nha-mat-tien-pho/mat-tien-tran-quy-cho-thiec-q11-5-21-8-lau-35-ty-id22290309,2024-04-25
"Bán nhà MT Trần Quốc Thảo Phường 6 Quận 3, dt: 5x20m giá 30 tỷ TL","Quận 3, TPHCM",30 tỷ,14 PN,15 WC,110 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-tran-quoc-thao-phuong-6-quan-3-dt-5x20m-gia-30-ty-tl-id22500419,2024-04-25
Bán nhà cực đẹp Phan Đình Phùng Phú Nhuận 40m2 3 tầng nhỉnh 4 tỷ.TL,"Quận Phú Nhuận, TPHCM",4 tỷ 900 triệu,6 PN,6 WC,100 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-nha-cuc-dep-phan-dinh-phung-phu-nhuan-40m2-3-tang-nhinh-4-ty-tl-id22452604,2024-04-25
